from,from_kind,type,raw_target,resolved_target,target_exists
src/html/articles/detail.html,html,include,../../partial/features/articles/_article-3col.html,src/partial/features/articles/_article-3col.html,yes
src/html/articles/detail.html,html,include,../../partial/features/articles/_article-3col.html,src/partial/features/articles/_article-3col.html,yes
src/html/articles/detail.html,html,include,../../partial/features/articles/_article-3col.html,src/partial/features/articles/_article-3col.html,yes
src/html/articles/detail.html,html,include,../../partial/features/articles/_article-3col.html,src/partial/features/articles/_article-3col.html,yes
src/html/articles/detail.html,html,include,../../partial/features/articles/_article-price-list.html,src/partial/features/articles/_article-price-list.html,yes
src/html/articles/detail.html,html,include,../../partial/features/articles/_author-info.html,src/partial/features/articles/_author-info.html,yes
src/html/articles/detail.html,html,include,../../partial/features/articles/_detail-editable.html,src/partial/features/articles/_detail-editable.html,yes
src/html/articles/detail.html,html,include,../../partial/features/articles/_detail-header.html,src/partial/features/articles/_detail-header.html,yes
src/html/articles/detail.html,html,include,../../partial/features/articles/_img-compare.html,src/partial/features/articles/_img-compare.html,yes
src/html/articles/detail.html,html,include,../../partial/features/articles/_pros-cons.html,src/partial/features/articles/_pros-cons.html,yes
src/html/articles/detail.html,html,include,../../partial/features/articles/_quiz.html,src/partial/features/articles/_quiz.html,yes
src/html/articles/detail.html,html,include,../../partial/features/articles/_related-products.html,src/partial/features/articles/_related-products.html,yes
src/html/articles/detail.html,html,include,../../partial/layouts/_footer.html,src/partial/layouts/_footer.html,yes
src/html/articles/detail.html,html,include,../../partial/layouts/_head.html,src/partial/layouts/_head.html,yes
src/html/articles/detail.html,html,include,../../partial/layouts/_header.html,src/partial/layouts/_header.html,yes
src/html/articles/detail.html,html,include,../../partial/layouts/_js.html,src/partial/layouts/_js.html,yes
src/html/articles/detail.html,html,include,../../partial/shared/components/_ad-300-600.html,src/partial/shared/components/_ad-300-600.html,yes
src/html/articles/detail.html,html,include,../../partial/shared/components/_ad-970-90.html,src/partial/shared/components/_ad-970-90.html,yes
src/html/articles/detail.html,html,include,../../partial/shared/components/_ad-970.html,src/partial/shared/components/_ad-970.html,yes
src/html/articles/detail.html,html,include,../../partial/shared/components/_breadcrumb.html,src/partial/shared/components/_breadcrumb.html,yes
src/html/articles/detail.html,html,include,../../partial/shared/components/_fb-sdk.html,src/partial/shared/components/_fb-sdk.html,yes
src/html/articles/detail.html,html,include,../../partial/shared/components/_nav-main.html,src/partial/shared/components/_nav-main.html,yes
src/html/articles/detail.html,html,include,../../partial/shared/components/_nav-top.html,src/partial/shared/components/_nav-top.html,yes
src/html/articles/detail.html,html,include,../../partial/shared/components/_popover-share.html,src/partial/shared/components/_popover-share.html,yes
src/html/articles/detail.html,html,include,../../partial/shared/components/_popup-message.html,src/partial/shared/components/_popup-message.html,yes
src/html/articles/detail.html,html,include,../../partial/shared/modals/_login.html,src/partial/shared/modals/_login.html,yes
src/html/articles/index.html,html,include,../../partial/layouts/_footer.html,src/partial/layouts/_footer.html,yes
src/html/articles/index.html,html,include,../../partial/layouts/_head.html,src/partial/layouts/_head.html,yes
src/html/articles/index.html,html,include,../../partial/layouts/_header.html,src/partial/layouts/_header.html,yes
src/html/articles/index.html,html,include,../../partial/layouts/_js.html,src/partial/layouts/_js.html,yes
src/html/articles/index.html,html,include,../../partial/shared/components/_ad-970.html,src/partial/shared/components/_ad-970.html,yes
src/html/articles/index.html,html,include,../../partial/shared/components/_breadcrumb.html,src/partial/shared/components/_breadcrumb.html,yes
src/html/articles/index.html,html,include,../../partial/shared/components/_nav-main.html,src/partial/shared/components/_nav-main.html,yes
src/html/articles/index.html,html,include,../../partial/shared/components/_nav-top.html,src/partial/shared/components/_nav-top.html,yes
src/html/articles/list.html,html,include,../../partial/features/articles/_infinite-scroll-last.html,src/partial/features/articles/_infinite-scroll-last.html,yes
src/html/articles/list.html,html,include,../../partial/layouts/_footer.html,src/partial/layouts/_footer.html,yes
src/html/articles/list.html,html,include,../../partial/layouts/_head.html,src/partial/layouts/_head.html,yes
src/html/articles/list.html,html,include,../../partial/layouts/_header.html,src/partial/layouts/_header.html,yes
src/html/articles/list.html,html,include,../../partial/layouts/_js.html,src/partial/layouts/_js.html,yes
src/html/articles/list.html,html,include,../../partial/shared/components/_ad-300-600.html,src/partial/shared/components/_ad-300-600.html,yes
src/html/articles/list.html,html,include,../../partial/shared/components/_ad-970.html,src/partial/shared/components/_ad-970.html,yes
src/html/articles/list.html,html,include,../../partial/shared/components/_breadcrumb.html,src/partial/shared/components/_breadcrumb.html,yes
src/html/articles/list.html,html,include,../../partial/shared/components/_nav-main.html,src/partial/shared/components/_nav-main.html,yes
src/html/articles/list.html,html,include,../../partial/shared/components/_nav-top.html,src/partial/shared/components/_nav-top.html,yes
src/html/articles/tags.html,html,include,../../partial/features/articles/_infinite-scroll-last.html,src/partial/features/articles/_infinite-scroll-last.html,yes
src/html/articles/tags.html,html,include,../../partial/layouts/_footer.html,src/partial/layouts/_footer.html,yes
src/html/articles/tags.html,html,include,../../partial/layouts/_head.html,src/partial/layouts/_head.html,yes
src/html/articles/tags.html,html,include,../../partial/layouts/_header.html,src/partial/layouts/_header.html,yes
src/html/articles/tags.html,html,include,../../partial/layouts/_js.html,src/partial/layouts/_js.html,yes
src/html/articles/tags.html,html,include,../../partial/shared/components/_ad-300-600.html,src/partial/shared/components/_ad-300-600.html,yes
src/html/articles/tags.html,html,include,../../partial/shared/components/_ad-970.html,src/partial/shared/components/_ad-970.html,yes
